id,itemid,userid,rawgrade,rawgrademax,rawgrademin,rawscaleid,usermodified,finalgrade,hidden,locked,locktime,exported,overridden,excluded,feedback,feedbackformat,information,informationformat,timecreated,timemodified,aggregationstatus,aggregationweight
243,130,133,5.0,5.0,1.0,3.0,133.0,5.0,0,0,0,0,0,0,,0,,0,,1551344429.0,used,0.02326
1821,129,348,100.0,100.0,0.0,,348.0,100.0,0,0,0,0,0,0,,0,,0,,1552737635.0,used,0.90909
1881,135,344,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
222,128,285,,100.0,0.0,,,100.0,0,0,0,0,0,0,,0,,0,,1552309652.0,unknown,
227,128,90,,215.0,0.0,,,214.33333,0,0,0,0,0,0,,0,,0,,1552822675.0,unknown,
224,135,285,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309630,0,,0,,0,,1552309630.0,used,1.0
253,129,57,100.0,100.0,0.0,,57.0,100.0,0,0,0,0,0,0,,0,,0,,1551208647.0,used,0.46512
251,136,57,10.0,10.0,0.0,,3.0,10.0,0,0,0,0,0,0,,0,,0,1550762281.0,1551117791.0,used,0.04651
1911,137,130,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
1909,140,130,100.0,100.0,0.0,,130.0,100.0,0,0,0,0,0,0,,0,,0,,1553370397.0,used,1.0
254,130,57,5.0,5.0,1.0,3.0,57.0,5.0,0,0,0,0,0,0,,0,,0,,1551208436.0,used,0.02326
232,128,61,,115.0,0.0,,,113.66667,0,0,0,0,0,0,,0,,0,,1552309648.0,unknown,
263,129,138,,100.0,0.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
264,130,138,,5.0,1.0,,,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
234,135,61,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309631,0,,0,,0,,1552309631.0,used,0.86957
237,128,134,,110.0,0.0,,,107.33333,0,0,0,0,0,0,,0,,0,,1552309649.0,unknown,
242,128,133,,215.0,0.0,,,212.33333,0,0,0,0,0,0,,0,,0,,1552309649.0,unknown,
262,128,138,,110.0,0.0,,,109.33333,0,0,0,0,0,0,,0,,0,,1552309649.0,unknown,
244,135,133,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309632,0,,0,,0,,1552309632.0,used,0.46512
240,135,134,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309629,0,,0,,0,,1552309629.0,used,0.90909
265,135,138,,100.0,0.0,,3.0,100.0,0,0,0,0,1552309631,0,,0,,0,,1552309631.0,used,0.90909
1880,128,344,,110.0,0.0,,,109.33333,0,0,0,0,0,0,,0,,0,,1557827279.0,unknown,
230,136,90,9.33333,10.0,0.0,,3.0,9.33333,0,0,0,0,0,0,,0,,0,1552809763.0,1552822675.0,used,0.04651
3364,127,945,9.0,12.0,0.0,,945.0,9.0,0,0,0,0,0,0,,0,,0,1560787214.0,1560787214.0,used,1.0
272,126,95,,12.0,0.0,,,3.0,0,0,0,0,0,0,,0,,0,,1550767500.0,unknown,
289,129,38,,100.0,0.0,,38.0,,0,0,0,0,0,0,,0,,0,,,novalue,0.0
271,127,95,3.0,12.0,0.0,,95.0,3.0,0,0,0,0,0,0,,0,,0,1550767500.0,1550767500.0,used,1.0
596,127,303,7.0,12.0,0.0,,303.0,7.0,0,0,0,0,0,0,,0,,0,1551121887.0,1551121887.0,used,1.0
294,129,210,100.0,100.0,0.0,,210.0,100.0,0,0,0,0,0,0,,0,,0,,1552640801.0,used,0.46512
